resourceType, resourceName, city, streetAddress, zipCode
Community Pantry,Mission Parish & Community Fridge,"Cleveland, TN",1165 Church St.,37311
Community Pantry,Blythe Oldfield,"Cleveland, TN",1075 Blythe Ave.,37311
Community Pantry,Prospect Church of God,"Cleveland, TN",2220 Harrison Pike,37311
Community Pantry,Oak Grove Baptist Church,"Cleveland, TN",4452 Bates Pike,37323
Community Pantry,Waterville Elementary,"Cleveland, TN",4081 Dalton Pike,37323
Community Pantry,Maple Street Baptist Church,"Cleveland, TN",1700 Maple St.,37311
Community Pantry,Cougar Field,"Cleveland, TN",3535 Adkisson Dr.,37312
Community Pantry,New Friendship Baptist Church,"Cleveland, TN",1344 Chatata Valley Rd.,37323
Community Pantry,First Baptist (Charleston),"Cleveland, TN",338 Market St.,37310
